KW	JA	TC	id	name	names	is bad	type	valid members count	valid members ratio	nonavailable members count	nonavailable members ratio	collection name probability	@
		1	Q3246972	Mints	usmint, royalmint, japanmint, perthmint, polishmint, denvermint, moscowmint, mexicanmint, perumperuri, swissmint	0,006	mint	73	0,33	14	0,2	-13,68	
		1	Q6605016	Actuaries	johandewitt, johngraunt, edmondhalley, edsavitz, roelofbotha, chinesepeople, singaporeans, ernstengel, williampetty, davidxli	0,01	human	88	0,66	7	0,08	-14,07	
		1	Q7214189	Princesses	princess, clotilde, urduja, kokochin, emilyruete, queennoguk, hafsahatun, terkenkhatun, amalafrida, sittisahhatun	0,01	human	30	0,94	3	0,1	-14,13	
		1	Q7173363	Disinfectants	ethanol, bleach, hypomide, phenols, thymol, calciumoxide, creolin, fuchsine, alcohols, lugolsiodine	0,012	chemical compound	54	0,7	7	0,13	-14,4	
		0	Q25046	Iwi	ahuriri, ngaitahu, ngatiporou, tearawa, ngaituhoe, tuhoe, ngatitoa, ngatitiipa, waitaha, ngatiawa	0,002	iwi	118	0,44	9	0,08	-14,71	
		1	Q3245023	Scientific journals	nature, thelancet, science, plosone, cell, elife, acsnano, biometrika, neuron, zootaxa	0,008	scientific journal	294	0,69	38	0,13	-14,97	
		3	Q7139272	Aquatic plants	typha, azolla, hydrilla, pistia, lemnoideae, lemna, victoria, marsilea, salvinia, nymphaeaceae	0,008	taxon	186	0,94	3	0,02	-15,21	
		1	Q6604697	Zimbabweans	coach, andyflower, derekchisora, wilbursmith, captain, nickprice, davidpocock, carablack, henryolonga, peterndlovu	0,008	human	112	0,72	7	0,06	-15,3	
		1	Q5968850	Icebreakers	lenin, shirase, arktika, yamal, krasin, uscgchealy, ural, 50letpobedy, sibir, yermak	0,008	icebreaker	161	0,37	28	0,19	-15,67	
		1	Q8811060	Liliaceae	liliaceae, liliopsida, lilioideae, lilieae, medeola, amanaedulis, streptopus, amana, tulipeae, nomocharis	0,008	taxon	28	0,88	2	0,07	-15,93	
		1	Q6561869	Aragonese	luisbunuel, carlossaura, franciscogoya, evaamaral, miguelfleta, davidcivera, fidelpages, victormunoz, florianrey, jamesiofaragon	0,012	human	42	0,81	5	0,12	-16,5	
		1	Q8920426	Pterosaurs	pterosaur, dimorphodon, dearc, cascocauda, caviramus, yelaphomte, eudimorphodon, peteinosaurus, caviramidae, preondactylus	0,01	taxon	29	0,76	2	0,07	-16,54	
		1	Q7898418	Rhetoricians	umbertoeco, petrarch, johnmilton, gorevidal, menachembegin, luji, jurgenhabermas, helenecixous, liuxie, mikhailbakhtin	0,012	human	52	0,95	3	0,06	-17,27	
		1	Q6642095	Syndicalists	helenkeller, albertcamus, noamchomsky, jimlarkin, billhaywood, georgessorel, jameslarkin, tommann, jamesconnolly, erikakokay	0,012	human	60	0,69	4	0,07	-17,56	
		3	Q6502473	Browser games	wordle, pacman, mmorpg, geoguessr, agario, akinator, actiongame, slitherio, shootemup, simcity	0,01	video game	476	0,6	123	0,3	-17,59	
		3	Q20715911	Girl groups	blackpink, twice, spicegirls, ive, gidle, kara, aespa, nogizaka46, izone, babymetal	0,012	girl group	192	0,32	101	0,54	-18,16	
		2	Q8430408	Executive cars	lexusgs, citroends, gaz24, audirs6, audi80, audi100, lexuses, toyotacrown, teslamodels, volvos80	0,01	automobile model	179	0,91	16	0,09	-18,5	
		3	Q6449317	Nokia mobile phones	nokia3310, ngage, nokia3210, nokia1100, nokia5110, nokia8110, nokia1110, nokia6300, nokia2110, nokia8800	0,006	mobile phone	204	0,89	3	0,02	-19,02	
		4	Q48976775	Survival games	minecraft, nomanssky, terraria, theforest, subnautica, rust, valheim, actiongame, dontstarve, raft	0,008	video game	64	0,28	31	0,48	-19,1	
		4	Q6571799	German artists	paulklee, maxernst, franzmarc, fwmurnau, ulay, jeanarp, adeltawil, josephbeuys, janosch, hannahhoch	0,008	human	468	0,84	34	0,08	-19,49	
		3	Q7037666	Compact cars	ladariva, mazda3, seatleon, nissanleaf, scionim, saab93, peugeot308, hyundaii30, vaz2101, saab900	0,008	automobile model	359	0,88	36	0,11	-19,56	
		2	Q7303120	Merchant ships	gascarrier, capsandiego, merchantship, eastindiaman, ghurab, ghali, enricalexie, colandia, ltcortesia, tirranna	0,008	ship	37	0,73	10	0,27	-19,83	
		1	Q6633298	Performance analysis tools	php, firefox, delphi, xcode, netbeans, gnuproject, openmp, visualstudio, valgrind, dtrace	0,006	software	55	0,53	17	0,31	-20,04	
		1	Q749445	ISO standards	iso8601, iso4217, iso31661, isbn, iso3166, iso31662, iso8583, iso6391, iso14000, iso639	0,006	ISO standard	171	0,37	12	0,07	-20,05	
		5	Q3769423	Hacker groups	anonymous, killnet, lulzsec, fancybear, lapsus$, cozybear, redhack, darkside, l0pht, goatsec	0,008	hacker group	29	0,25	18	0,62	-20,34	
		2	Q3245678	Architecture firms	sanaa, populous, archigram, hksinc, mvrdv, snohetta, aedas, nbbj, bbpr, rmjm	0,004	architectural firm	162	0,69	32	0,2	-20,52	
		1	Q7152276	Unidentified people	tankman, bambiwoods, juba, johnzegrus, ironmouse, kitboga, sharaku, tsugumiohba, btraven, fulcanelli	0,006	human	95	0,69	20	0,21	-20,55	
		4	Q6937204	Luxury vehicles	audia8, lexusls, citroends, aurussenat, teslamodels, bmw7series, kiastinger, audiv8, nissancima, nissanfuga	0,006	automobile model	176	0,73	22	0,13	-20,57	
		3	Q7722014	Spiritual teachers	sadhguru, alanwatts, adishankara, gorakhnath, bababuddha, balumama, rudolfsteiner, mariamnour, adida, pdouspensky	0,012	human	92	0,94	9	0,1	-20,59	
		0	Q17002912	Light novels	overlord, monogatari, konosuba, datealive, bofuri, toradora, higehiro, fatezero, durarara, accelworld	0,002	light novel	301	0,67	46	0,15	-20,63	
		5	Q17098461	Largest universities	lunduniversity, nihonuniversity, openuniversity, texasamuniversity, monashuniversity, sofiauniversity, aarhusuniversity, telavivuniversity, universityofvienna, universityoftoronto	0,012	university	65	0,42	20	0,31	-20,73	
		3	Q7046886	Spanish scientists	kitinmunoz, josedeacosta, felixdeazara, fernandosimon, mateovalero, antoniobru, blascodegaray, santiagoramonycajal, samerhassan, emiliahazelip	0,012	human	53	1	0	0	-20,82	
		1	Q6850311	MacOS games	roblox, minecraft, fortnite, thesims4, pacman, cuphead, undertale, bioshock, dota2, warthunder	0,006	video game	2617	0,96	655	0,25	-20,93	
		3	Q6598541	Sudanese people	manutebol, luoldeng, alekwek, johngarang, moibrahim, tayebsalih, bas, omaralbashir, natasjasaad, oddisee	0,006	human	76	0,73	6	0,08	-20,94	
